Product ;Day Contacted;Inventory Levels;Manufactured Goods (%);Manufactured Goods %;Multiple Retailers;Plant;Product Advertised;Type;Demand Type;Forecast Accuracy;Forecast Bias
not on backorder;7;High;>125%;52,00%;no;California;no;cellular;Cyclical;Between 50% and 70 %;Consistent over (>20%)
not on backorder;7;High;>125%;86,00%;no;California;no;cellular;Cyclical;Between 70 and 85%;Consistent over (>20%)
not on backorder;193;High;>125%;1022,00%;no;California;no;cellular;Declining;Below 50%;Accurate (5% to -5%)
not on backorder;108;High;>125%;514,00%;no;California;no;cellular;Declining;Below 50%;Consistent over (>20%)
not on backorder;26;High;>125%;122,00%;no;California;no;cellular;Declining;Below 50%;Consistent under (<-20%)
not on backorder;23;High;>125%;148,00%;no;California;no;cellular;Declining;Between 50% and 70 %;Accurate (5% to -5%)
not on backorder;25;High;>125%;160,00%;no;California;no;cellular;Declining;Between 50% and 70 %;Consistent over (>20%)
not on backorder;165;High;>125%;902,00%;no;California;no;cellular;Declining;Between 70 and 85%;Accurate (5% to -5%)
not on backorder;160;High;>125%;1042,00%;no;California;no;cellular;Declining;Between 70 and 85%;Consistent over (>20%)
not on backorder;49;High;>125%;292,00%;no;California;no;cellular;Declining;Between 70 and 85%;Moderate over (5% to 20%)
not on backorder;1719;High;>125%;9084,00%;no;California;no;cellular;Growing;Below 50%;Accurate (5% to -5%)
not on backorder;288;High;>125%;1608,00%;no;California;no;cellular;Growing;Below 50%;Consistent over (>20%)
not on backorder;5;High;>125%;70,00%;no;California;no;cellular;Growing;Below 50%;Consistent under (<-20%)
not on backorder;8;High;>125%;80,00%;no;California;no;cellular;Growing;Below 50%;Moderate over (5% to 20%)
not on backorder;383;High;>125%;2746,00%;no;California;no;cellular;Growing;Between 50% and 70 %;Accurate (5% to -5%)
not on backorder;36;High;>125%;252,00%;no;California;no;cellular;Growing;Between 50% and 70 %;Consistent over (>20%)
not on backorder;8;High;>125%;76,00%;no;California;no;cellular;Growing;Between 50% and 70 %;Consistent under (<-20%)
not on backorder;19;High;>125%;154,00%;no;California;no;cellular;Growing;Between 50% and 70 %;Moderate over (5% to 20%)
not on backorder;1563;High;>125%;9952,00%;no;California;no;cellular;Growing;Between 70 and 85%;Accurate (5% to -5%)
not on backorder;326;High;>125%;1992,00%;no;California;no;cellular;Growing;Between 70 and 85%;Consistent over (>20%)
not on backorder;7;High;>125%;76,00%;no;California;no;cellular;Growing;Between 70 and 85%;Consistent under (<-20%)
not on backorder;54;High;>125%;398,00%;no;California;no;cellular;Growing;Between 70 and 85%;Moderate over (5% to 20%)
not on backorder;566;High;>125%;3080,00%;no;California;no;cellular;Intermittent;Below 50%;Accurate (5% to -5%)
not on backorder;1710;High;>125%;9150,00%;no;California;no;cellular;Intermittent;Below 50%;Consistent over (>20%)
not on backorder;82;High;>125%;450,00%;no;California;no;cellular;Intermittent;Below 50%;Consistent under (<-20%)
not on backorder;13;High;>125%;82,00%;no;California;no;cellular;Intermittent;Below 50%;Moderate over (5% to 20%)
not on backorder;34;High;>125%;258,00%;no;California;no;cellular;Intermittent;Between 50% and 70 %;Accurate (5% to -5%)
not on backorder;312;High;>125%;2390,00%;no;California;no;cellular;Intermittent;Between 50% and 70 %;Consistent over (>20%)
not on backorder;5;High;>125%;72,00%;no;California;no;cellular;Intermittent;Between 50% and 70 %;Moderate over (5% to 20%)
not on backorder;276;High;>125%;1556,00%;no;California;no;cellular;Intermittent;Between 70 and 85%;Accurate (5% to -5%)
not on backorder;1065;High;>125%;6898,00%;no;California;no;cellular;Intermittent;Between 70 and 85%;Consistent over (>20%)
not on backorder;12;High;>125%;78,00%;no;California;no;cellular;Intermittent;Between 70 and 85%;Consistent under (<-20%)
not on backorder;39;High;>125%;230,00%;no;California;no;cellular;Intermittent;Between 70 and 85%;Moderate over (5% to 20%)
