ItemID,LocationID,ReportingPeriodID,ScenarioID,MonthID,Date,Sum_GrossMarginAmount,Sum_Regular_Sales_Dollars,Sum_Regular_Sales_Units
51,23,20140401,1,1,2014-04-01 00:00:00,-2.99,-5.99,-1
88,16,20140401,1,1,2014-04-01 00:00:00,3.25,0,0
88,16,20140501,1,1,2014-05-01 00:00:00,-3.25,0,0
156,8,20140101,1,1,2014-01-01 00:00:00,0.48,0.79,1
156,31,20140101,1,1,2014-01-01 00:00:00,2.88,4.74,6
223,24,20140401,1,1,2014-04-01 00:00:00,0.24,0.25,1
227,11,20140601,1,1,2014-06-01 00:00:00,16.63,34.63,18
227,11,20140801,1,1,2014-08-01 00:00:00,1.98,3.98,2
227,13,20140201,1,1,2014-02-01 00:00:00,2.97,5.97,3
227,13,20140701,1,1,2014-07-01 00:00:00,0,0,0
227,14,20140601,1,1,2014-06-01 00:00:00,11.88,23.88,12
227,14,20140801,1,1,2014-08-01 00:00:00,-0.5,1.5,2
227,16,20140701,1,1,2014-07-01 00:00:00,0,0,0
227,20,20140401,1,1,2014-04-01 00:00:00,0.99,1.99,1
227,21,20140501,1,1,2014-05-01 00:00:00,37.01,76.01,39
227,24,20140501,1,1,2014-05-01 00:00:00,39.2,79.2,40
316,10,20140201,1,1,2014-02-01 00:00:00,38.85,74.85,15
316,11,20140201,1,1,2014-02-01 00:00:00,49.21,94.81,19
316,14,20140201,1,1,2014-02-01 00:00:00,49.21,94.81,19
316,18,20140501,1,1,2014-05-01 00:00:00,5.18,9.98,2
316,25,20140101,1,1,2014-01-01 00:00:00,2.59,4.99,1
316,27,20140401,1,1,2014-04-01 00:00:00,5.18,9.98,2
316,27,20140501,1,1,2014-05-01 00:00:00,5.18,9.98,2
317,10,20140201,1,1,2014-02-01 00:00:00,32.88,83.88,12
317,12,20140301,1,1,2014-03-01 00:00:00,13.7,34.95,5
317,13,20140201,1,1,2014-02-01 00:00:00,79.46,202.71,29
317,16,20140201,1,1,2014-02-01 00:00:00,82.2,209.7,30
317,19,20140201,1,1,2014-02-01 00:00:00,30.14,76.89,11
317,38,20140301,1,1,2014-03-01 00:00:00,2.74,6.99,1
318,5,20140301,1,1,2014-03-01 00:00:00,18.96,39.96,4
318,8,20140301,1,1,2014-03-01 00:00:00,23.7,49.95,5
318,9,20140201,1,1,2014-02-01 00:00:00,49.14,106.89,11
318,11,20140301,1,1,2014-03-01 00:00:00,4.74,9.99,1
318,12,20140201,1,1,2014-02-01 00:00:00,23.7,49.95,5
318,14,20140301,1,1,2014-03-01 00:00:00,4.74,9.99,1
318,18,20140201,1,1,2014-02-01 00:00:00,56.88,119.88,12
318,20,20140101,1,1,2014-01-01 00:00:00,4.74,9.99,1
318,22,20140401,1,1,2014-04-01 00:00:00,4.74,9.99,1
318,28,20140401,1,1,2014-04-01 00:00:00,4.74,9.99,1
318,34,20140301,1,1,2014-03-01 00:00:00,4.74,9.99,1
318,37,20140301,1,1,2014-03-01 00:00:00,18.96,39.96,4
318,40,20140301,1,1,2014-03-01 00:00:00,14.22,29.97,3
321,5,20140301,1,1,2014-03-01 00:00:00,6.49,14.99,1
321,6,20140201,1,1,2014-02-01 00:00:00,136.29,314.79,21
321,8,20140301,1,1,2014-03-01 00:00:00,32.45,74.95,5
321,9,20140201,1,1,2014-02-01 00:00:00,58.41,134.91,9
321,12,20140201,1,1,2014-02-01 00:00:00,123.31,284.81,19
321,19,20140401,1,1,2014-04-01 00:00:00,12.98,29.98,2
321,25,20140401,1,1,2014-04-01 00:00:00,6.49,14.99,1
321,26,20140501,1,1,2014-05-01 00:00:00,12.98,29.98,2
321,31,20140301,1,1,2014-03-01 00:00:00,19.47,44.97,3
321,34,20140301,1,1,2014-03-01 00:00:00,19.47,44.97,3
321,37,20140301,1,1,2014-03-01 00:00:00,32.45,74.95,5
322,7,20140301,1,1,2014-03-01 00:00:00,25.96,79.96,4
322,10,20140301,1,1,2014-03-01 00:00:00,25.96,79.96,4
322,21,20140401,1,1,2014-04-01 00:00:00,12.98,39.98,2
322,24,20140401,1,1,2014-04-01 00:00:00,6.49,19.99,1
322,25,20140101,1,1,2014-01-01 00:00:00,6.49,19.99,1
322,33,20140301,1,1,2014-03-01 00:00:00,19.47,59.97,3
322,39,20140301,1,1,2014-03-01 00:00:00,32.45,99.95,5
409,25,20140101,1,1,2014-01-01 00:00:00,0,0,0
716,4,20140501,1,1,2014-05-01 00:00:00,1.01,1.79,1
716,547,20140501,1,1,2014-05-01 00:00:00,7.07,12.53,7
716,563,20140101,1,1,2014-01-01 00:00:00,0.83,1.61,1
